time,u,x_true,c_true,y
1.05,0.6937166322257262,0.061300467511725305,1.0,0.06534097607987069
1.06,0.6943263465829348,0.06193288367643931,1.0,0.08079474268854461
1.07,0.6949053745573155,0.0625652771393458,1.0,0.06431105526766419
1.08,0.6954536247136387,0.06319761723676377,1.0,0.06577312114399142
1.09,0.6959710104768494,0.06382987324424065,1.0,0.06308541408657897
1.1,0.6964574501457378,0.06446201438147325,1.0,0.04527430222848284
1.11,0.6969128669058411,0.06509400981723752,1.0,0.06482887106274535
1.12,0.6973371888415736,0.06572582867432612,1.0,0.0663281307737364
1.1300000000000001,0.6977303489475828,0.06635744003449337,1.0,0.09098986115934624
1.1400000000000001,0.6980922851393303,0.06698881294340646,1.0,0.06506520329559523
1.1500000000000001,0.6984229402628956,0.06761991641560239,1.0,0.07063538983893851
1.16,0.6987222621040017,0.06825071943944969,1.0,0.06790360174239725
1.17,0.6989902033962601,0.06888119098211423,1.0,0.05719441060591891
1.18,0.6992267218286345,0.06951129999452837,1.0,0.08093952813967858
1.19,0.6994317800521228,0.07014101541636249,1.0,0.07766034574323023
1.2,0.6996053456856544,0.07077030618099825,1.0,0.07868062565142872
1.21,0.6997473913212036,0.0713991412205029,1.0,0.062305266672555516
1.22,0.6998578945281179,0.07202748947060361,1.0,0.0860554325799646
1.23,0.6999368378566599,0.07265531987566112,1.0,0.058636809247738314
1.24,0.6999842088407633,0.07328260139364212,1.0,0.07915117233164483
1.25,0.7,0.07390930300108925,1.0,0.09581385925918903
1.26,0.6999842088407633,0.07453539369808816,1.0,0.06463003044678128
1.27,0.6999368378566599,0.07516084251323084,1.0,0.06949786521720312
1.28,0.6998578945281179,0.07578561850857427,1.0,0.07678213215945068
1.29,0.6997473913212036,0.07640969078459381,1.0,0.07137493424343182
1.3,0.6996053456856544,0.07703302848513043,1.0,0.0615263941744691
1.31,0.6994317800521228,0.07765560080233094,1.0,0.07834123055039122
1.32,0.6992267218286345,0.07827737698158073,1.0,0.06765433984431968
1.33,0.6989902033962601,0.07889832632642778,1.0,0.0836342506327796
1.34,0.6987222621040017,0.07951841820349762,1.0,0.07032417586115958
1.35,0.6984229402628955,0.08013762204739812,1.0,0.09563696609757351
1.36,0.6980922851393303,0.08075590736561361,1.0,0.07292337444225123
1.37,0.6977303489475828,0.08137324374338732,1.0,0.07815262858133057
